query_name,Config,Run,WJ_SampleSize,CRAWD_SampleSize,∑Fµ_SampleSize,∑Fµ_success,∑Fµ_fail,N̂,Nb_Total_Scans,Execution_time,cd
Q-10169_v2,1,5,7752.0,88.0,352.0,88.0,264.0,430011.4540763674,10000,444,80
c6_pc5_o,1,1,2479.0,2479.0,6215.0,3787.0,2428.0,31051.279951593384,10002,2685,14756
c6_pc5_o,1,2,2481.0,2481.0,6213.0,3790.0,2423.0,31542.344216041918,10003,1321,15047
c6_pc5_o,1,3,2475.0,2475.0,6255.0,3746.0,2509.0,31733.32202020202,10001,1096,14776
c6_pc5_o,1,4,2473.0,2473.0,6245.0,3758.0,2487.0,30444.449251920745,10003,741,14029
c6_pc5_o,1,5,2479.0,2479.0,6222.0,3779.0,2443.0,30823.30697862041,10001,1257,15098
c6_pc9_o,1,1,2480.0,2480.0,6277.0,3726.0,2551.0,31314.218951612904,10003,2575,14684
c6_pc9_o,1,2,2475.0,2475.0,6237.0,3766.0,2471.0,30367.61090909091,10003,1352,14401
c6_pc9_o,1,3,2475.0,2475.0,6240.0,3763.0,2477.0,30674.6,10003,1028,14231
c6_pc9_o,1,4,2480.0,2480.0,6281.0,3722.0,2559.0,29745.631451612902,10003,1062,13113
c6_pc9_o,1,5,2472.0,2472.0,6256.0,3745.0,2511.0,28901.730582524273,10001,1149,12981
Q-10078_v4,2,1,50412.0,588.0,2726.0,627.0,2099.0,4557017.513607871,100001,4923,414
Q-10078_v4,2,2,50720.0,563.0,2626.0,594.0,2032.0,4054996.9232058357,100001,3265,398
Q-10078_v4,2,3,50160.0,606.0,2822.0,637.0,2185.0,3746813.4422448166,100011,3373,431
Q-10078_v4,2,4,50474.0,561.0,2618.0,587.0,2031.0,3935626.048936086,100001,2852,397
Q-10078_v4,2,5,50551.0,582.0,2701.0,614.0,2087.0,4797752.398864513,100002,2782,417
c6_pc3_o,2,1,24780.0,24780.0,63920.0,36080.0,27840.0,36311.27881355932,100000,10883,15159
c6_pc3_o,2,2,24781.0,24781.0,63958.0,36042.0,27916.0,36783.79439893467,100000,9942,15414
c6_pc3_o,2,3,24781.0,24781.0,63995.0,36005.0,27990.0,36372.67624389653,100000,8813,15188
c6_pc3_o,2,4,24792.0,24792.0,64055.0,35946.0,28109.0,36706.98100193611,100001,8264,15238
c6_pc3_o,2,5,24800.0,24800.0,64127.0,35875.0,28252.0,36589.78016129032,100002,10044,15217
c6_pc11_s,2,1,25000.0,25000.0,50000.0,50000.0,0.0,31931.154,100000,10985,1686
c6_pc11_s,2,2,25000.0,25000.0,50000.0,50000.0,0.0,31418.67744,100000,7388,1686
c6_pc11_s,2,3,25000.0,25000.0,50000.0,50000.0,0.0,31628.48328,100000,6867,1686
c6_pc11_s,2,4,25000.0,25000.0,50000.0,50000.0,0.0,31501.62864,100000,8397,1686
c6_pc11_s,2,5,25000.0,25000.0,50000.0,50000.0,0.0,31357.17216,100000,6044,1686
c6_role2_o,2,1,24125.0,24125.0,64917.0,35083.0,29834.0,1853374.1841243524,100000,9272,114881
c6_role2_o,2,2,24109.0,24109.0,64910.0,35093.0,29817.0,1858217.5088141358,100003,7710,109443
c6_role2_o,2,3,24125.0,24125.0,64930.0,35071.0,29859.0,1844583.1169326424,100001,7283,111139
c6_role2_o,2,4,24101.0,24101.0,64876.0,35125.0,29751.0,1846982.092527281,100001,7529,113318
c6_role2_o,2,5,24112.0,24112.0,64876.0,35126.0,29750.0,1848567.7760451226,100002,7452,113149
c6_pc14_s,2,1,25000.0,25000.0,50000.0,50000.0,0.0,47146.71072,100000,8582,2586
c6_pc14_s,2,2,25000.0,25000.0,50000.0,50000.0,0.0,46877.9736,100000,8090,2586
c6_pc14_s,2,3,25000.0,25000.0,50000.0,50000.0,0.0,46937.14128,100000,8711,2586
c6_pc14_s,2,4,25000.0,25000.0,50000.0,50000.0,0.0,47067.47568,100000,7853,2586
c6_pc14_s,2,5,25000.0,25000.0,50000.0,50000.0,0.0,46973.24184,100000,9122,2586
c6_role2_s,2,1,25000.0,25000.0,50000.0,50000.0,0.0,1841910.03568,100000,8263,21268
c6_role2_s,2,2,25000.0,25000.0,50000.0,50000.0,0.0,1865211.25648,100000,6540,21268
c6_role2_s,2,3,25000.0,25000.0,50000.0,50000.0,0.0,1856183.41584,100000,6301,21268
c6_role2_s,2,4,25000.0,25000.0,50000.0,50000.0,0.0,1855835.47136,100000,6293,21268
c6_role2_s,2,5,25000.0,25000.0,50000.0,50000.0,0.0,1840728.3856,100000,6200,21268
Q-10082_v4,2,1,51330.0,414.0,1936.0,433.0,1503.0,3219410.8008766803,100001,3185,296
Q-10082_v4,2,2,51697.0,380.0,1779.0,402.0,1377.0,2474900.2038803026,100001,2266,274
Q-10082_v4,2,3,51218.0,401.0,1862.0,424.0,1438.0,2244005.7865594127,100011,2091,282
Q-10082_v4,2,4,51282.0,406.0,1892.0,428.0,1464.0,2480961.8843843844,100001,2204,285
Q-10082_v4,2,5,51353.0,407.0,1901.0,436.0,1465.0,2640458.1935232608,100002,2014,280
Q-10122_v3,2,1,52243.0,1657.0,7483.0,1709.0,5774.0,1835704.522251785,100000,6164,273
Q-10122_v3,2,2,51404.0,1705.0,7520.0,1764.0,5756.0,1897592.44230021,100001,4435,276
Q-10122_v3,2,3,51862.0,1665.0,7464.0,1725.0,5739.0,1808035.8092437624,100001,4110,271
Q-10122_v3,2,4,51657.0,1694.0,7612.0,1752.0,5860.0,1791491.9809512747,100000,4213,281
Q-10122_v3,2,5,51482.0,1691.0,7502.0,1754.0,5748.0,1806806.142982013,100000,3974,280
Q-1003_v2,2,1,81093.0,613.0,2438.0,619.0,1819.0,198956.97859248024,100000,3442,60
Q-1003_v2,2,2,80889.0,629.0,2503.0,632.0,1871.0,212186.27687324604,100000,2567,59
Q-1003_v2,2,3,80886.0,626.0,2491.0,631.0,1860.0,204689.51989219396,100000,2398,59
Q-1003_v2,2,4,80666.0,646.0,2573.0,648.0,1925.0,217457.85345746658,100000,2165,60
Q-1003_v2,2,5,80980.0,630.0,2507.0,633.0,1874.0,202041.13558903433,100000,2315,61
c6_pc14_o,2,1,24678.0,24678.0,61950.0,38052.0,23898.0,46682.65475322149,100002,10387,21266
c6_pc14_o,2,2,24683.0,24683.0,62007.0,37993.0,24014.0,47025.53465948223,100000,10374,21358
c6_pc14_o,2,3,24681.0,24681.0,61931.0,38070.0,23861.0,46809.20894615291,100001,6856,21147
c6_pc14_o,2,4,24693.0,24693.0,62026.0,37976.0,24050.0,47018.95298262666,100002,7167,21441
c6_pc14_o,2,5,24671.0,24671.0,61877.0,38126.0,23751.0,47266.11787118479,100003,6495,21666
Q-10122_v2,2,1,48916.0,1552.0,4600.0,1658.0,2942.0,1840030.4284896557,100000,5350,695
Q-10122_v2,2,2,48327.0,1572.0,4665.0,1690.0,2975.0,1841898.2665590663,100002,4967,712
Q-10122_v2,2,3,48482.0,1565.0,4644.0,1687.0,2957.0,1825361.2350563095,100000,4114,701
Q-10122_v2,2,4,48625.0,1566.0,4641.0,1671.0,2970.0,1767918.4144781495,100000,4150,712
Q-10122_v2,2,5,48072.0,1591.0,4729.0,1693.0,3036.0,1811120.452071892,100000,3936,730
Q-10025_v2,2,1,86647.0,19.0,133.0,19.0,114.0,196584.96141816798,100000,2958,3
Q-10025_v2,2,2,86492.0,21.0,145.0,21.0,124.0,223541.5610229848,100000,2543,3
Q-10025_v2,2,3,86284.0,30.0,209.0,30.0,179.0,331564.65903296095,100000,2479,4
Q-10025_v2,2,4,86139.0,27.0,185.0,27.0,158.0,277713.7380280709,100000,2250,4
Q-10025_v2,2,5,86514.0,23.0,160.0,23.0,137.0,228606.41847562246,100000,2074,3
C6_role1_s,2,1,25000.0,25000.0,50000.0,50000.0,0.0,2732868.3294,100000,7678,31173
C6_role1_s,2,2,25000.0,25000.0,50000.0,50000.0,0.0,2719370.4204,100000,6291,31173
C6_role1_s,2,3,25000.0,25000.0,50000.0,50000.0,0.0,2709317.75136,100000,5858,31173
C6_role1_s,2,4,25000.0,25000.0,50000.0,50000.0,0.0,2715347.85648,100000,6534,31173
C6_role1_s,2,5,25000.0,25000.0,50000.0,50000.0,0.0,2724003.97512,100000,6360,31173
c6_pc5_s,2,1,25000.0,25000.0,50000.0,50000.0,0.0,31416.25872,100000,8775,1687
c6_pc5_s,2,2,25000.0,25000.0,50000.0,50000.0,0.0,31314.02652,100000,6055,1687
c6_pc5_s,2,3,25000.0,25000.0,50000.0,50000.0,0.0,31181.42832,100000,7779,1687
c6_pc5_s,2,4,25000.0,25000.0,50000.0,50000.0,0.0,31672.4128,100000,8090,1687
c6_pc5_s,2,5,25000.0,25000.0,50000.0,50000.0,0.0,31024.67228,100000,7521,1687
c6_pc12_o,2,1,24784.0,24784.0,62832.0,37170.0,25662.0,30812.014404454487,100002,12290,13880
c6_pc12_o,2,2,24774.0,24774.0,62691.0,37309.0,25382.0,30953.947283442318,100000,10361,14075
c6_pc12_o,2,3,24780.0,24780.0,62747.0,37255.0,25492.0,31009.97619047619,100002,9620,14174
c6_pc12_o,2,4,24772.0,24772.0,62935.0,37065.0,25870.0,30705.1700306798,100000,9488,13774
c6_pc12_o,2,5,24774.0,24774.0,62821.0,37181.0,25640.0,30958.09114394123,100002,10312,14125
c6_pc9_s,2,1,25000.0,25000.0,50000.0,50000.0,0.0,30100.99644,100000,8117,1719
c6_pc9_s,2,2,25000.0,25000.0,50000.0,50000.0,0.0,30401.47764,100000,5659,1719
c6_pc9_s,2,3,25000.0,25000.0,50000.0,50000.0,0.0,30034.368,100000,6192,1719
c6_pc9_s,2,4,25000.0,25000.0,50000.0,50000.0,0.0,30253.84992,100000,6210,1719
c6_pc9_s,2,5,25000.0,25000.0,50000.0,50000.0,0.0,30360.978,100000,6156,1719
c6_pc10_o,2,1,24789.0,24789.0,62548.0,37454.0,25094.0,30832.291944007422,100002,10338,14536
c6_pc10_o,2,2,24783.0,24783.0,62421.0,37579.0,24842.0,30771.91300488238,100000,8314,14608
c6_pc10_o,2,3,24779.0,24779.0,62514.0,37486.0,25028.0,30533.144598248517,100000,8158,14562
c6_pc10_o,2,4,24782.0,24782.0,62391.0,37609.0,24782.0,30619.234928577192,100000,8863,14492
c6_pc10_o,2,5,24784.0,24784.0,62518.0,37482.0,25036.0,30394.61091833441,100000,9691,14465
Q-10020_v4,2,1,48068.0,1032.0,4856.0,1080.0,3776.0,6088358.1807855535,100001,4028,773
Q-10020_v4,2,2,48304.0,1033.0,4765.0,1103.0,3662.0,8001176.859845975,100001,2829,775
Q-10020_v4,2,3,48003.0,1048.0,4886.0,1106.0,3780.0,7835036.213569985,100003,2775,799
Q-10020_v4,2,4,47816.0,1081.0,5043.0,1136.0,3907.0,7969474.349046344,100001,2782,815
Q-10020_v4,2,5,48211.0,1010.0,4737.0,1050.0,3687.0,9651307.051938355,100000,2637,766
c6_role0_o,2,1,23809.0,23809.0,56451.0,43550.0,12901.0,5249643.467218279,100001,9232,378536
c6_role0_o,2,2,23820.0,23820.0,56439.0,43564.0,12875.0,5279504.529974811,100003,7759,384172
c6_role0_o,2,3,23804.0,23804.0,56403.0,43598.0,12805.0,5264499.481053605,100001,7132,376942
c6_role0_o,2,4,23786.0,23786.0,56394.0,43609.0,12785.0,5262690.973555873,100003,7236,343895
c6_role0_o,2,5,23777.0,23777.0,56416.0,43587.0,12829.0,5260010.326870505,100003,7170,384429
c6_pc11_o,2,1,24792.0,24792.0,62400.0,37601.0,24799.0,31527.084704743465,100001,10560,15022
c6_pc11_o,2,2,24768.0,24768.0,62656.0,37347.0,25309.0,31140.21850775194,100003,8981,14598
c6_pc11_o,2,3,24778.0,24778.0,62630.0,37374.0,25256.0,31609.608120106546,100004,8376,15040
c6_pc11_o,2,4,24784.0,24784.0,62584.0,37416.0,25168.0,31459.233457069076,100000,8128,15064
c6_pc11_o,2,5,24779.0,24779.0,62434.0,37569.0,24865.0,31521.851729286896,100003,8264,15077
c6_pc3_s,2,1,25000.0,25000.0,50000.0,50000.0,0.0,36683.07804,100000,9903,1659
c6_pc3_s,2,2,25000.0,25000.0,50000.0,50000.0,0.0,36662.70552,100000,7110,1659
c6_pc3_s,2,3,25000.0,25000.0,50000.0,50000.0,0.0,36297.46008,100000,8172,1659
c6_pc3_s,2,4,25000.0,25000.0,50000.0,50000.0,0.0,36396.20376,100000,7973,1659
c6_pc3_s,2,5,25000.0,25000.0,50000.0,50000.0,0.0,36747.91176,100000,6953,1659
SPO_s,2,1,50000.0,50000.0,100000.0,100000.0,0.0,1.0916931E7,100000,3027,527029
SPO_s,2,2,50000.0,50000.0,100000.0,100000.0,0.0,1.0916931E7,100000,2130,527294
SPO_s,2,3,50000.0,50000.0,100000.0,100000.0,0.0,1.0916931E7,100000,1985,531399
