query_name,Config,Run,BigN_SampleSize,CHAOLEE_SampleSize,Nb_Total_Scans,Execution_time,cd
query_3670_v3,1,1,8535.0,34.0,10000,1033,70.17020400294102
query_3670_v3,1,2,8779.0,21.0,10000,368,67.1146799774531
query_3670_v3,1,3,8568.0,34.0,10000,358,84.11052623944695
query_3670_v3,1,4,8842.0,17.0,10000,283,27.78246165365485
query_3670_v3,1,5,8731.0,27.0,10011,359,71.76059700405413
query_3670_v5,1,1,8457.0,34.0,10000,1008,257.08837763653025
query_3670_v5,1,2,8734.0,21.0,10000,326,185.69659554905164
query_3670_v5,1,3,8473.0,34.0,10000,381,258.01145625132835
query_3670_v5,1,4,8814.0,17.0,10000,274,114.77801645206836
query_3670_v5,1,5,8658.0,27.0,10014,348,234.97066372848042
query_11284_v6,1,1,2255.0,23.0,10000,933,120.14230159703993
query_11284_v6,1,2,2237.0,33.0,10000,341,169.16178190543093
query_11284_v6,1,3,2234.0,41.0,10005,344,178.5638042311614
query_11284_v6,1,4,2234.0,26.0,10004,252,159.1731878153925
query_11284_v6,1,5,2243.0,40.0,10003,288,193.36816434539818
query_3713_v2,1,1,8460.0,34.0,10000,1030,256.9972115451698
query_3713_v2,1,2,8740.0,21.0,10000,309,185.56911504867475
query_3713_v2,1,3,8478.0,34.0,10000,412,257.85929096691495
query_3713_v2,1,4,8813.0,17.0,10000,356,114.79104016890169
query_3713_v2,1,5,8660.0,27.0,10014,325,234.91639798627986
c6_role1_o,1,1,2513.0,2258.0,10002,2897,19349.13797597803
c6_role1_o,1,2,2495.0,2265.0,10000,1658,16898.461897662055
c6_role1_o,1,3,2520.0,2263.0,10002,1513,20508.64989526014
c6_role1_o,1,4,2532.0,2259.0,10001,1356,18385.73590523244
c6_role1_o,1,5,2502.0,2273.0,10002,1299,18469.007772294914
query_10962_v0,1,1,1431.0,925.0,10006,2420,29477.16142557652
query_10962_v0,1,2,1500.0,910.0,10000,1185,27942.096
